"962"	"varsigma"	"varsigma"	"$\varsigma$"	
"963"	"sgr"	"sigma"	"$\sigma$"
"963"	"sigma"	"sigma"	"$\sigma$"	L
"964"	"tgr"	"tau"	"$\tau$"
"964"	"tau"	"tau"	"$\tau$"	L
"965"	"ugr"	"upsilon"	"$\upsilon$"
"965"	"upsi"	"upsilon"	"$\upsilon$"	L
"965"	"upsilon"	"upsilon"	"$\upsilon$"
"966"	"phgr"	"phi"	"$\phi$"
"966"	"phis"	"phi"	"$\phi$"	L
"966"	"phi"	"phi"	"$\phi$"
"967"	"khgr"	"chi"	"$\chi$"
"967"	"chi"	"chi"	"$\chi$"	L
"968"	"psgr"	"psi"	"$\psi$"
"968"	"psi"	"psi"	"$\psi$"	L
"969"	"ohgr"	"omega"	"$\omega$"
"969"	"omega"	"omega"	"$\omega$"	L
"977"	"thetav"	"vartheta"	"$\vartheta$"	L
"978"	"upsih"	"Upsilon"	"\Upsilon"	L
"981"	"phiv"	"varphi"	"$\varphi$"	L
"981"	"varphi"	"varphi"	"$\varphi$"
"982"	"piv"	"varpi"	"$\varpi$"	L
"982"	"varpi"	"varpi"	"$\varpi$"
"988"	"gammad"	"digamma"	"$\digamma$"	L
"1008"	"kappav"	"varkappa"	"$\varkappa$"	L
"1009"	"rhov"	"varrho"	"$\varrho$"	L
"1013"	"epsilon"	"epsilon"	"$\epsilon$"	L
"1489"	"beth"	"&beth;"	"$\beth$"	P
"1490"	"gimel"	"&gimel;"	"$\gimel$"	P
"1491"	"daleth"	"&daleth;"	"$\daleth$"	P
"7682"	"Bdot"	"B"	"\.{B}"	U
"7683"	"bdot"	"b"	"\.{b}"	L
"7690"	"Ddot"	"D"	"\.{D}"	U
"7691"	"ddot"	"d"	"\.{d}"	L
"7696"	"Dcedil"	"D"	"\c{D}"	U
"7697"	"dcedil"	"d"	"\c{d}"	L
"7710"	"Fdot"	"F"	"\.{F}"	U
"7711"	"fdot"	"f"	"\.{f}"	L
"7712"	"Gmacr"	"G"	"\={G}"	U
"7713"	"gmacr"	"g"	"\={g}"	L
"7714"	"Hdot"	"H"	"\.{H}"	U
"7715"	"hdot"	"h"	"\.{h}"	L
"7719"	"huml"	"h"	"\"h"	L
"7720"	"Hcedil"	"H"	"\c{H}"	U
"7721"	"hcedil"	"h"	"\c{h}"	L
"7728"	"Kacute"	"K"	"\'{K}"	U
"7729"	"kacute"	"k"	"\'{k}"	L
"7742"	"Macute"	"M"	"\'{M}"	U
"7743"	"macute"	"m"	"\'{m}"	L
"7744"	"Mdot"	"M"	"\.{M}"	U
"7745"	"mdot"	"m"	"\.{m}"	L
"7748"	"Ndot"	"N"	"\.{N}"	U
"7749"	"ndot"	"n"	"\.{n}"	L
"7764"	"Pacute"	"P"	"\'{P}"	U
"7765"	"pacute"	"p"	"\'{p}"	L
"7766"	"Pdot"	"P"	"\.{P}"	U
"7767"	"pdot"	"p"	"\.{p}"	L
"7768"	"Rdot"	"R"	"\.{R}"	U
"7769"	"rdot"	"r"	"\.{r}"	L
"7776"	"Sdot"	"S"	"\.{S}"	U
"7777"	"sdot"	"s"	"\.{s}"	L
"7786"	"Tdot"	"T"	"\.{T}"	U
"7787"	"tdot"	"t"	"\.{t}"	L
"7804"	"Vtilde"	"V"	"\~{V}"	U
"7805"	"vtilde"	"v"	"\~{v}"	L
"7808"	"Wgrave"	"W"	"\`{W}"	U
"7809"	"wgrave"	"w"	"\`{w}"	L
"7810"	"Wacute"	"W"	"\'{W}"	U
"7811"	"wacute"	"w"	"\'{w}"	L
"7814"	"Wdot"	"W"	"\.{W}"	U
"7815"	"wdot"	"w"	"\.{w}"	L
"7818"	"Xdot"	"X"	"\.{X}"	U
"7819"	"xdot"	"x"	"\.{x}"	L
"7822"	"Ydot"	"Y"	"\.{Y}"	U
"7823"	"ydot"	"y"	"\.{y}"	L
"7824"	"Zcirc"	"Z"	"\^{Z}"	U
"7825"	"zcirc"	"z"	"\^{z}"	L
"7868"	"Etilde"	"E"	"\~{E}"	U
"7869"	"etilde"	"e"	"\~{e}"	L
"7922"	"Ygrave"	"Y"	"\`{Y}"	U
"7923"	"ygrave"	"y"	"\`{y}"	L
"7928"	"Ytilde"	"Y"	"\~{Y}"	U
"7929"	"ytilde"	"y"	"\~{y}"	L
"8194"	"ensp"	" "	"~"	S
"8195"	"emsp"	"  "	"~~"	S
"8196"	"emsp13"	"  "	"~~"	S
"8197"	"emsp14"	"  "	"~~"	S
"8199"	"numsp"	" "	"$\kern\zerowidth$"	S
"8200"	"puncsp"	" "	"$\kern.2em$"	S
"8201"	"ThinSpace"	" "	"$\kern.1666em$"
"8201"	"thinsp"	" "	"$\kern.1666em$"	S
"8202"	"hairsp"	" "	"$ $"	S
